Title,Year,Director,Producer(s),Cast,Synopsis,Ref.
Dostana,1980,Raj Khosla,Yash Johar,"Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman",A police officer and a lawyer are best friends. Trouble arises when they both fall in love with the same girl.,[18]
Duniya,1984,Ramesh Talwar,Yash Johar,"Dilip Kumar, Rishi Kapoor, Amrita Singh, Saira Banu",An honest man is wrongly imprisoned by criminals. He later avenges his humiliation with the help of a man who was hired by the criminals to spy on him.,[19]
Muqaddar Ka Faisla,1987,Prakash Mehra,Yash Johar,"Raaj Kumar, Raakhee, Raj Babbar, Meenakshi Seshadri, Tina Munim","A Hindu priest is wrongly imprisoned for rape. When he returns from prison, he tries to locate his family and exact revenge for his humiliation.",[20]
Agneepath,1990,Mukul S. Anand,Yash Johar,"Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi",A common man seeks revenge from an unscrupulous man for wrongly framing and murdering his father.,[21]
Gumrah,1993,Mahesh Bhatt,Yash Johar,"Sridevi, Sanjay Dutt, Rahul Roy","An aspiring singer is wrongly accused of drug trafficking, and is sent to prison. She escapes, and seeks revenge from the people who framed her.",[22]
Duplicate,1998,Mahesh Bhatt,Yash Johar,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre",An aspiring chef is the doppelganger of a gangster. Comic situations arise when they mistakenly swap places with each other.,[23][24]
Kuch Kuch Hota Hai,1998,Karan Johar,Yash Johar,"Shah Rukh Khan, Kajol, Salman Khan, Rani Mukerji",An eight-year-old girl attempts to fulfill her late mother's wish to unite her father with a woman who used to secretly love him in college.,[25][26]
Kabhi Khushi Kabhie Gham...,2001,Karan Johar,Yash Johar,"Amitabh Bachchan, Jaya Bhaduri Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor","A rich industrialist severs ties with his adopted son after he marries a poor girl. Years later, his younger son plots to unite them.",[27][28]
Kal Ho Naa Ho,2003,Nikhil Advani,"Yash Johar,Karan Johar","Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bhaduri Bachchan","A man with a fatal heart disease tries to play matchmaker to a troubled young woman and her best friend, despite being in love with her.",[29][30]
Kaal[a],2005,Soham Shah,"Karan Johar,Shah Rukh Khan","Ajay Devgn, John Abraham, Vivek Oberoi, Esha Deol, Lara Dutta","A group of tourists in a national park are traumatised by an unexplained force, and they seek support from a mysterious local man.",[31][33]
Kabhi Alvida Naa Kehna,2006,Karan Johar,Hiroo Johar,"Shah Rukh Khan, Rani Mukerji, Abhishek Bachchan, Preity Zinta, Amitabh Bachchan, Kiron Kher",An extra-marital affair between a bitter football coach and an unhappy schoolteacher destroy their respective marriages.,[34][35]
